659,47,318
0,318,336
622,336,613
0,613,884
0,884,902
622,902,1179
0,1179,1185
659,1185,1462
0,1462,1733
0,1733,1751
587,1751,2028
0,2028,2034
523,2034,2311
0,2311,2317
440,2317,2877
0,2877,3166
262,3166,3443
0,3443,3449
330,3449,3726
0,3726,3998
0,3998,4009
494,4009,4564
0,4564,4858
330,4858,5130
0,5130,5142
415,5142,5413
0,5413,5430
494,5430,5708
0,5708,6262
0,6262,6557
330,6557,6828
0,6828,6840
659,6840,7111
0,7111,7129
622,7129,7406
0,7406,7412
659,7412,7689
0,7689,7695
622,7695,7972
0,7972,7978
659,7978,8255
0,8255,8526
0,8526,8544
587,8544,8821
0,8821,9092
0,9092,9104
440,9104,9658
0,9658,9959
262,9959,10236
0,10236,10242
330,10242,10519
0,10519,10525
440,10525,10802
0,10802,11639
0,11639,11657
294,11657,11940
523,11940,12217
0,12217,12223
494,12223,12500
0,12500,13054
0,13054,13638
659,13638,13915
0,13915,13921
622,13921,14198
0,14198,14204
659,14204,14481
0,14481,14487
622,14487,14764
0,14764,15035
0,15035,15047
494,15047,15318
0,15318,15330
587,15330,15601
0,15601,15619
523,15619,15896
0,15896,16450
0,16450,16751
262,16751,17028
0,17028,17300
0,17300,17311
440,17311,17583
0,17583,17600
494,17600,18160
0,18160,18449
330,18449,18726
0,18726,18732
415,18732,19009
0,19009,19015
494,19015,19292
0,19292,19298
523,19298,19858
0,19858,20147
330,20147,20425
0,20425,20696
0,20696,20708
622,20708,20979
0,20979,20996
659,20996,21274
0,21274,21279
622,21279,21557
0,21557,21828
0,21828,21846
494,21846,22123
0,22123,22394
0,22394,22412
523,22412,22689
0,22689,22695
440,22695,23255
0,23255,23538
262,23538,23809
0,23809,23821
330,23821,24092
0,24092,24104
440,24104,24375
0,24375,24393
494,24393,24953
0,24953,25242
294,25242,25519
523,25519,25790
0,25790,25802
494,25802,26073
0,26073,26085
0,26085,26091
262,26091,26639
0,26639,26651
0,26651,26940
494,26940,27217
0,27217,27488
0,27488,27506
587,27506,27783
0,27783,28620
0,28620,28632
392,28632,28903
0,28903,28915
698,28915,29186
0,29186,29198
659,29198,29469
0,29469,29487
587,29487,30330
0,30330,30336
349,30336,30613
0,30613,30619
659,30619,30896
0,30896,30902
587,30902,31179
0,31179,32016
0,32016,32028
330,32028,32300
0,32300,32311
587,32311,32583
0,32583,32600
523,32600,32877
0,32877,33149
0,33149,33732
330,33732,34009
0,34009,34015
659,34015,34292
0,34292,34864
659,34864,35141
0,35141,35147
1319,35147,35425
0,35425,35991
622,35991,36262
0,36262,36279
659,36279,36557
0,36557,37123
622,37123,37394
0,37394,37412
659,37412,37689
0,37689,37695
622,37695,37972
0,37972,38243
0,38243,38255
622,38255,38526
0,38526,38544
659,38544,38821
0,38821,38827
494,38827,39104
0,39104,39110
587,39110,39387
0,39387,39658
0,39658,39670
440,39670,40224
0,40224,40519
262,40519,40790
0,40790,40802
330,40802,41073
0,41073,41085
440,41085,41356
0,41356,41374
494,41374,41934
0,41934,42223
330,42223,42500
0,42500,42771
0,42771,42789
494,42789,43066
0,43066,43072
523,43072,43632
0,43632,43921
330,43921,44198
0,44198,44469
0,44469,44487
622,44487,44764
0,44764,44770
659,44770,45047
0,45047,45318
0,45318,45336
659,45336,45613
0,45613,45884
0,45884,45902
587,45902,46179
0,46179,46185
523,46185,46462
0,46462,46468
440,46468,47028
0,47028,47311
262,47311,47583
0,47583,47594
330,47594,47866
0,47866,47883
440,47883,48160
0,48160,48715
0,48715,49009
294,49009,49292
523,49292,49564
0,49564,49581
494,49581,49847
0,49847,49858
0,49858,49864
440,49864,50425
0,50425,50708
494,50708,50979
0,50979,50991
523,50991,51262
0,51262,51274
587,51274,51545
0,51545,51557
659,51557,52394
0,52394,52406
392,52406,52677
0,52677,52689
698,52689,52960
0,52960,52978
659,52978,53255
0,53255,54092
0,54092,54110
349,54110,54387
0,54387,54393
659,54393,54670
0,54670,54676
587,54676,54953
0,54953,55790
0,55790,55808
330,55808,56085
0,56085,56356
0,56356,56368
523,56368,56639
0,56639,56657
494,56657,57075
0,57075,57506
330,57506,57641
0,57641,57783
659,57783,58054
0,58054,58638
659,58638,58774
0,58774,58921
1319,58921,59057
0,59057,59764
622,59764,59894
0,59894,60047
659,60047,60318
0,60318,60896
622,60896,61026
0,61026,61185
659,61185,61462
0,61462,61592
0,61592,61751
659,61751,62028
0,62028,62300
0,62300,62317
659,62317,62594
0,62594,62866
0,62866,62877
587,62877,63149
0,63149,63166
523,63166,63302
0,63302,63443
440,63443,63856
0,63856,64292
262,64292,64564
0,64564,64581
330,64581,64858
0,64858,65130
0,65130,65141
494,65141,65696
0,65696,65991
330,65991,66262
0,66262,66274
415,66274,66545
0,66545,66562
494,66562,66840
0,66840,66845
523,66845,67406
0,67406,67695
330,67695,67830
0,67830,67978
659,67978,68255
0,68255,68261
622,68261,68538
0,68538,68809
0,68809,68821
622,68821,69092
0,69092,69110
659,69110,69387
0,69387,69393
494,69393,69670
0,69670,69676
587,69676,69953
0,69953,70224
0,70224,70236
440,70236,70649
0,70649,71091
262,71091,71368
0,71368,71639
0,71639,71651
440,71651,71922
0,71922,71934
494,71934,72488
0,72488,72789
294,72789,73066
0,73066,73072
523,73072,73349
0,73349,73355
494,73355,73491
0,73491,73632
440,73632,73638
262,73638,74045
0,74045,74057
0,74057,74487
523,74487,74623
0,74623,74764
349,74764,74770
523,74770,74894
0,74894,74906
0,74906,75047
523,75047,75053
330,75053,75177
0,75177,75189
0,75189,75330
523,75330,76309
0,76309,76468
